timestamp_ms,latency_ms,ok
1772464750275,52.083,1
1772464750328,52.745,1
1772464750381,53.036,1
1772464750435,68.896,1
1772464750503,54.971,1
1772464750560,51.916,1
1772464750612,52.573,1
1772464750665,51.855,1
1772464750718,51.797,1
1772464750770,52.483,1
1772464750823,52.435,1
1772464750876,52.287,1
1772464750929,52.191,1
1772464750982,53.885,1
1772464751036,53.464,1
1772464751090,53.589,1
1772464751144,53.188,1
1772464751198,53.715,1
1772464751252,53.137,1
1772464751306,53.099,1
1772464751359,53.233,1
1772464751413,53.724,1
1772464751468,52.373,1
1772464751521,52.754,1
1772464751574,53.331,1
1772464751628,54.546,1
1772464751683,53.181,1
1772464751737,52.651,1
1772464751791,52.025,1
1772464751843,52.624,1
1772464751897,52.851,1
1772464751951,52.390,1
1772464752004,53.792,1
1772464752058,52.135,1
1772464752111,52.541,1
1772464752164,52.773,1
1772464752217,53.363,1
1772464752271,52.942,1
1772464752324,54.501,1
1772464752381,53.026,1
1772464752435,55.044,1
1772464752490,53.115,1
1772464752543,56.102,1
1772464752599,55.462,1
1772464752655,52.971,1
1772464752709,52.793,1
1772464752762,53.801,1
1772464752816,52.124,1
1772464752868,55.597,1
1772464752925,54.485,1
1772464752980,107.062,1
1772464753089,59.657,1
1772464753150,52.821,1
1772464753203,52.917,1
1772464753257,52.396,1
1772464753310,52.701,1
1772464753363,53.294,1
1772464753417,52.764,1
1772464753471,52.991,1
1772464753524,52.918,1
1772464753577,54.986,1
1772464753633,52.504,1
1772464753686,52.241,1
1772464753739,52.492,1
1772464753792,52.594,1
1772464753845,53.409,1
1772464753899,52.655,1
1772464753952,54.328,1
1772464754007,52.700,1
1772464754060,53.624,1
1772464754115,53.260,1
1772464754168,53.804,1
1772464754223,53.038,1
1772464754277,53.758,1
1772464754331,52.313,1
1772464754384,54.441,1
1772464754439,52.969,1
1772464754492,53.969,1
1772464754546,53.344,1
1772464754600,54.499,1
1772464754655,55.036,1
1772464754711,52.259,1
1772464754764,52.228,1
1772464754817,53.435,1
1772464754871,52.641,1
1772464754924,53.262,1
1772464754978,53.608,1
1772464755032,52.723,1
1772464755085,51.857,1
1772464755138,52.516,1
1772464755191,52.377,1
1772464755244,53.063,1
1772464755297,52.758,1
1772464755350,53.462,1
1772464755404,52.624,1
1772464755458,52.354,1
1772464755511,52.506,1
1772464755564,51.932,1
1772464755616,81.731,1
1772464755698,58.497,1
1772464755757,52.294,1
1772464755810,52.491,1
1772464755863,53.678,1
1772464755917,53.059,1
1772464755970,53.136,1
1772464756024,52.921,1
1772464756078,52.822,1
1772464756131,53.205,1
1772464756185,52.381,1
1772464756239,51.813,1
1772464756291,52.344,1
1772464756344,52.570,1
1772464756398,52.233,1
1772464756451,52.374,1
1772464756504,51.811,1
1772464756557,51.775,1
1772464756610,52.585,1
1772464756663,52.442,1
1772464756717,53.343,1
1772464756771,52.518,1
1772464756824,53.303,1
1772464756878,52.385,1
1772464756931,51.854,1
1772464756983,52.405,1
1772464757037,53.549,1
1772464757091,52.347,1
1772464757144,52.803,1
1772464757199,52.764,1
1772464757252,54.670,1
1772464757307,55.144,1
1772464757364,52.582,1
1772464757417,52.806,1
1772464757470,52.344,1
1772464757524,53.253,1
1772464757578,53.872,1
1772464757633,53.471,1
1772464757687,53.825,1
1772464757741,52.758,1
1772464757794,53.416,1
1772464757848,53.029,1
1772464757902,53.053,1
1772464757956,52.562,1
1772464758010,113.366,1
1772464758124,56.244,1
1772464758181,52.267,1
1772464758234,52.227,1
1772464758286,53.272,1
1772464758339,53.679,1
1772464758393,53.300,1
1772464758447,52.470,1
1772464758500,52.789,1
1772464758553,53.182,1
1772464758607,53.138,1
1772464758660,53.771,1
1772464758715,52.459,1
1772464758768,52.375,1
1772464758821,52.084,1
1772464758873,53.003,1
1772464758927,53.829,1
1772464758981,52.383,1
1772464759034,52.602,1
1772464759087,53.205,1
1772464759141,52.600,1
1772464759193,53.172,1
1772464759248,52.218,1
1772464759301,52.980,1
1772464759354,51.955,1
1772464759407,52.459,1
1772464759460,51.678,1
1772464759512,52.121,1
1772464759565,52.475,1
1772464759618,52.406,1
1772464759672,53.870,1
1772464759727,52.575,1
1772464759781,52.072,1
1772464759833,52.635,1
1772464759887,52.420,1
1772464759940,53.998,1
1772464759995,52.210,1
1772464760048,52.301,1
1772464760100,51.942,1
1772464760153,52.914,1
1772464760207,53.828,1
1772464760261,52.538,1
1772464760314,54.013,1
1772464760369,52.377,1
1772464760422,51.915,1
1772464760475,51.625,1
1772464760527,57.126,1
1772464760585,51.868,1
1772464760637,53.080,1
1772464760691,52.535,1
1772464760745,52.621,1
1772464760797,52.883,1
1772464760851,52.456,1
1772464760904,55.368,1
1772464760960,53.216,1
1772464761014,53.148,1
1772464761068,53.087,1
1772464761121,53.290,1
1772464761174,54.261,1
1772464761230,56.083,1
1772464761286,52.455,1
1772464761339,51.761,1
1772464761391,54.060,1
1772464761446,53.015,1
1772464761500,55.205,1
1772464761556,57.723,1
1772464761615,54.001,1
1772464761669,53.022,1
1772464761723,53.116,1
1772464761777,54.755,1
1772464761831,52.532,1
1772464761884,52.261,1
1772464761937,53.665,1
1772464761992,52.509,1
1772464762045,53.873,1
1772464762098,53.442,1
1772464762153,52.373,1
1772464762207,53.181,1
1772464762261,52.996,1
1772464762316,52.795,1
1772464762369,53.073,1
1772464762422,54.110,1
1772464762476,54.961,1
1772464762532,51.804,1
1772464762584,52.984,1
1772464762638,53.240,1
1772464762691,53.239,1
1772464762745,53.106,1
1772464762799,54.024,1
1772464762853,53.410,1
1772464762907,81.150,1
1772464762990,58.189,1
1772464763049,53.186,1
1772464763102,52.942,1
1772464763156,52.376,1
1772464763209,52.853,1
1772464763263,52.863,1
1772464763316,52.099,1
1772464763369,52.654,1
1772464763422,53.409,1
1772464763475,53.275,1
1772464763529,52.147,1
1772464763583,54.462,1
1772464763638,52.682,1
1772464763691,52.646,1
1772464763745,53.771,1
1772464763799,54.170,1
1772464763854,52.735,1
1772464763908,52.611,1
1772464763961,51.903,1
1772464764013,52.545,1
1772464764066,52.044,1
1772464764120,52.675,1
1772464764173,53.079,1
1772464764226,52.777,1
1772464764280,51.986,1
1772464764332,54.382,1
1772464764387,54.757,1
1772464764443,55.655,1
1772464764499,54.164,1
1772464764554,53.795,1
1772464764608,54.808,1
1772464764664,53.200,1
1772464764718,51.990,1
1772464764770,52.398,1
1772464764823,52.634,1
1772464764876,53.570,1
1772464764931,52.903,1
1772464764985,52.514,1
1772464765038,52.948,1
1772464765091,53.644,1
1772464765146,52.319,1
1772464765199,53.520,1
1772464765253,53.651,1
1772464765307,52.483,1
1772464765360,52.999,1
1772464765413,52.119,1
1772464765467,52.623,1
1772464765520,53.815,1
1772464765574,94.548,1
1772464765671,57.162,1
1772464765729,52.269,1
1772464765781,52.473,1
1772464765835,52.258,1
1772464765888,52.502,1
1772464765941,53.031,1
1772464765995,53.325,1
1772464766049,53.369,1
1772464766103,52.708,1
1772464766157,52.328,1
1772464766210,54.747,1
1772464766265,52.457,1
1772464766320,53.232,1
1772464766374,52.583,1
1772464766427,53.576,1
1772464766481,52.167,1
1772464766533,52.654,1
1772464766587,53.703,1
1772464766641,55.012,1
1772464766697,56.934,1
1772464766754,52.182,1
1772464766807,52.852,1
1772464766861,53.568,1
1772464766915,52.428,1
1772464766968,54.033,1
1772464767022,54.762,1
1772464767078,54.214,1
1772464767132,55.851,1
1772464767189,55.115,1
1772464767244,52.955,1
1772464767298,53.510,1
1772464767353,55.147,1
1772464767408,55.232,1
1772464767463,52.961,1
1772464767517,52.904,1
1772464767570,52.905,1
1772464767624,52.445,1
1772464767677,53.135,1
1772464767730,53.175,1
1772464767784,51.515,1
1772464767836,52.441,1
1772464767890,51.703,1
1772464767943,51.761,1
1772464767995,53.222,1
1772464768049,53.037,1
1772464768102,83.163,1
1772464768187,55.202,1
1772464768243,52.547,1
1772464768296,52.107,1
1772464768348,52.150,1
1772464768401,52.618,1
1772464768455,52.358,1
1772464768509,51.661,1
1772464768561,51.914,1
1772464768613,52.077,1
1772464768666,53.163,1
1772464768720,52.823,1
1772464768774,51.760,1
1772464768827,52.127,1
1772464768879,52.335,1
1772464768933,51.879,1
1772464768985,54.624,1
1772464769040,53.584,1
1772464769095,52.730,1
1772464769149,53.138,1
1772464769203,54.172,1
1772464769258,53.761,1
1772464769312,53.011,1
1772464769365,54.066,1
1772464769420,53.434,1
1772464769473,52.977,1
1772464769527,53.299,1
1772464769581,54.944,1
1772464769636,58.383,1
1772464769695,61.172,1
1772464769756,51.824,1
1772464769809,52.394,1
1772464769862,54.327,1
1772464769917,53.254,1
1772464769971,52.893,1
1772464770025,53.678,1
1772464770079,53.030,1
1772464770133,53.600,1
1772464770188,52.765,1
1772464770242,51.754,1
1772464770294,52.014,1
1772464770347,52.672,1
1772464770400,52.798,1
1772464770453,52.792,1
1772464770507,52.524,1
1772464770560,53.105,1
1772464770613,67.565,1
1772464770681,62.755,1
1772464770745,52.461,1
1772464770798,51.871,1
1772464770850,52.506,1
1772464770903,52.479,1
1772464770956,52.932,1
1772464771009,51.839,1
1772464771062,51.872,1
1772464771114,54.614,1
1772464771170,53.677,1
1772464771224,51.821,1
1772464771276,54.920,1
1772464771332,54.316,1
1772464771387,54.758,1
1772464771442,54.549,1
1772464771497,52.790,1
1772464771551,52.767,1
1772464771604,52.916,1
1772464771658,54.767,1
1772464771715,52.353,1
1772464771768,52.629,1
1772464771821,52.292,1
1772464771874,51.936,1
1772464771927,52.226,1
1772464771980,52.922,1
1772464772033,51.638,1
1772464772086,52.480,1
1772464772139,52.370,1
1772464772194,52.843,1
